Name,Latitude,Longitude
Karah,-7.314391581105325,112.71878181235799
Sidosermo,-7.3105396593029965,112.75291874291028
Karang Pilang,-7.337724953330769,112.6910668773048
Panjang Jiwo,-7.311344516645769,112.76206896739549
Jagir,-7.304935334685282,112.74206131169618
Gayungan,-7.332249110886167,112.72563059544734
Menur Pumpungan,-7.293226682691016,112.7676343536394
Made,-7.277895964142315,112.63635590807837
Gunung Anyar Tambak,-7.339938687853546,112.80826749600061
Wonokromo,-7.305412789533619,112.73138292484416
Dukuh Sutorejo,-7.257898593208141,112.79348813683357
Jeruk,-7.302525325230981,112.64349626841366
Medokan Ayu,-7.325821720087195,112.80679897197786
Keputran,-7.28312816808829,112.7430402698954
Wiyung,-7.311862625239084,112.69345689296063
Kertajaya,-7.282163278953956,112.75602712045603
Kalisari,-7.2628412956488635,112.81159545041605
Kalijudan,-7.255911738856964,112.78300378051925
Airlangga,-7.272739970186542,112.75784577328598
Kutisari,-7.335593615858202,112.74893445029113
Bringin,-7.264143925443663,112.64447836208485
Dukuh Kupang,-7.281797750547192,112.70910888600054
Pradahkali Kendal,-7.288573705933299,112.68965249692457
Lidah Kulon,-7.3035228523670614,112.65532621806436
Kebraon,-7.329883236038412,112.70040728129231
Pucang Sewu,-7.288790989907076,112.75256366871618
